v_categories,proportion
holocaust jewish 1939 1945,0.0001380945805019976
children s stories english,0.00013333269841572183
death,0.00013333269841572183
monographic series,0.00013333269841572183
adolescence,0.00013333269841572183
catalogs union,0.00012857081632944604
christian biography,0.00012857081632944604
clothing and dress,0.00012857081632944604
periodicals,0.00012857081632944604
boats and boating,0.00012857081632944604
electronic journals,0.00012857081632944604
alphabet,0.00012857081632944604
civilization modern,0.00012857081632944604
missions,0.00012857081632944604
airplanes military,0.00012857081632944604
natural history,0.00012857081632944604
soviet union,0.00012380893424317028
business enterprises,0.00012380893424317028
ghost stories,0.00012380893424317028
new york n y,0.00012380893424317028
drugs,0.00012380893424317028
asia,0.00012380893424317028
freemasonry,0.00011904705215689449
horsemanship,0.00011904705215689449
baking,0.00011904705215689449
locomotives,0.00011904705215689449
dolls,0.00011904705215689449
atlases,0.00011904705215689449
iran,0.00011904705215689449
theology doctrinal,0.00011904705215689449
college readers,0.00011904705215689449
mysticism,0.00011428517007061872
missionaries,0.00011428517007061872
arthurian romances,0.00011428517007061872
banks and banking,0.00011428517007061872
accounting,0.00010952328798434293
christian saints,0.00010952328798434293
book industries and trade,0.00010952328798434293
bibliography,0.00010952328798434293
unidentified flying objects,0.00010952328798434293
interior decoration,0.00010952328798434293
hand weaving,0.00010476140589806715
beauty personal,0.00010476140589806715
cowboys,0.00010476140589806715
beer,0.00010476140589806715
psychoanalysis,0.00010476140589806715
feminism,0.00010476140589806715
hawaii,0.00010476140589806715
blind,0.00010476140589806715
israel,9.999952381179138e-05
dragons,9.999952381179138e-05
soldiers,9.999952381179138e-05
brothers,9.999952381179138e-05
lawyers,9.999952381179138e-05
caricatures and cartoons,9.999952381179138e-05
new thought,9.999952381179138e-05
bible stories english,9.999952381179138e-05
conservatism,9.523764172551559e-05
kentucky,9.523764172551559e-05
operas,9.523764172551559e-05
knitting,9.523764172551559e-05
dwellings,9.523764172551559e-05
photography artistic,9.523764172551559e-05
camping,9.523764172551559e-05
aunts,9.523764172551559e-05
italy,9.523764172551559e-05
criminals,9.523764172551559e-05
fishes,9.523764172551559e-05
dating social customs,9.523764172551559e-05
latin language,9.523764172551559e-05
cities and towns,9.523764172551559e-05
alcoholics,9.523764172551559e-05
animal behavior,9.523764172551559e-05
editions,9.523764172551559e-05
consciousness,9.523764172551559e-05
confederate states of america,9.047575963923981e-05
texas,9.047575963923981e-05
philosophers,9.047575963923981e-05
selling,9.047575963923981e-05
aquarium fishes,9.047575963923981e-05
devotional calendars,9.047575963923981e-05
food,9.047575963923981e-05
criticism,9.047575963923981e-05
jazz,9.047575963923981e-05
indiana,9.047575963923981e-05
african american women,9.047575963923981e-05
communication,9.047575963923981e-05
evangelistic work,9.047575963923981e-05
painters,9.047575963923981e-05
child development,9.047575963923981e-05
large print books,9.047575963923981e-05
java computer program language,8.571387755296404e-05
karate,8.571387755296404e-05
byzantine empire,8.571387755296404e-05
civilization medieval,8.571387755296404e-05
trademarks,8.571387755296404e-05
new england,8.571387755296404e-05
heroes,8.571387755296404e-05
journalism,8.571387755296404e-05
life on other planets,8.571387755296404e-05
democracy,8.571387755296404e-05
motion picture plays,8.571387755296404e-05
arizona,8.571387755296404e-05
christian science,8.571387755296404e-05
contract bridge,8.571387755296404e-05
businessmen,8.571387755296404e-05
color,8.095199546668825e-05
birthdays,8.095199546668825e-05
basic computer program language,8.095199546668825e-05
admirals,8.095199546668825e-05
crocheting,8.095199546668825e-05
tales,8.095199546668825e-05
bereavement,8.095199546668825e-05
dressmaking,8.095199546668825e-05
angels,8.095199546668825e-05
north carolina,8.095199546668825e-05
canvas embroidery,8.095199546668825e-05
dinosaurs,8.095199546668825e-05
socialism,8.095199546668825e-05
drawing,8.095199546668825e-05
art modern,8.095199546668825e-05
connecticut,8.095199546668825e-05
western stories,8.095199546668825e-05
city and town life,8.095199546668825e-05
colorado,8.095199546668825e-05
aids disease,8.095199546668825e-05
short stories american,8.095199546668825e-05
investments,8.095199546668825e-05
piano,8.095199546668825e-05
acting,8.095199546668825e-05
abortion,8.095199546668825e-05
c computer program language,8.095199546668825e-05
musicals,7.619011338041247e-05
mormons,7.619011338041247e-05
korean war 1950 1953,7.619011338041247e-05
netherlands,7.619011338041247e-05
computer graphics,7.619011338041247e-05
farm life,7.619011338041247e-05
corporations,7.619011338041247e-05
parapsychology,7.619011338041247e-05
constitutional history,7.619011338041247e-05
slavery,7.619011338041247e-05
fighter pilots,7.619011338041247e-05
antisemitism,7.619011338041247e-05
cd roms,7.619011338041247e-05
catholics,7.619011338041247e-05
