Palabra Original,Palabra Más Similar,Distancia de Levenshtein,proportion Palabra Original,proportion Palabra Más Similar
enzymes,names,3,4.761882086275779e-06,4.761882086275779e-06
science,faience,2,0.012261846372160132,4.761882086275779e-06
flamenco,faience,3,9.523764172551558e-06,4.761882086275779e-06
business,businessmen,3,0.02676177732486988,8.571387755296404e-05
businesswomen,businessmen,2,4.285693877648202e-05,8.571387755296404e-05
economics,economists,2,0.026733206032352227,2.3809410431378898e-05
computers,composers,2,0.020485616735158405,0.0001619039909333765
english language,polish language,3,0.0019047528345103118,1.428564625882734e-05
families,fairies,2,0.00038095056690206237,6.190446712158514e-05
ferries,fairies,2,1.428564625882734e-05,6.190446712158514e-05
fairs,fairies,2,1.428564625882734e-05,6.190446712158514e-05
success,chess,3,0.00014761834467454918,0.0002857129251765468
chest,chess,1,1.9047528345103117e-05,0.0002857129251765468
cheese,chess,2,4.761882086275779e-06,0.0002857129251765468
travel,tragedy,3,0.008547578344865024,9.523764172551558e-06
bible,bibles,1,0.0029476050114047078,0.0019047528345103118
babies,bibles,2,4.285693877648202e-05,0.0019047528345103118
rifles,bibles,2,2.3809410431378898e-05,0.0019047528345103118
fables,bibles,2,1.428564625882734e-05,0.0019047528345103118
exiles,bibles,3,9.523764172551558e-06,0.0019047528345103118
emblems,bibles,3,9.523764172551558e-06,0.0019047528345103118
violets,bibles,3,4.761882086275779e-06,0.0019047528345103118
bivalves,bibles,3,4.761882086275779e-06,0.0019047528345103118
thimbles,bibles,3,4.761882086275779e-06,0.0019047528345103118
arts american,art american,1,1.428564625882734e-05,5.714258503530936e-05
art mexican,art american,2,9.523764172551558e-06,5.714258503530936e-05
art african,art american,2,4.761882086275779e-06,5.714258503530936e-05
humor,rumor,1,0.00375712496607159,4.761882086275779e-06
accounting,counting,2,0.00010952328798434293,6.666634920786091e-05
counseling,counting,3,3.3333174603930456e-05,6.666634920786091e-05
founding,counting,2,4.761882086275779e-06,6.666634920786091e-05
conducting,counting,3,4.761882086275779e-06,6.666634920786091e-05
fountains,counting,3,4.761882086275779e-06,6.666634920786091e-05
mathematics,mathematicians,3,0.00549521192756225,2.3809410431378898e-05
prisoners,prisons,2,1.428564625882734e-05,9.523764172551558e-06
nineteen thirties,nineteen twenties,3,9.523764172551558e-06,9.523764172551558e-06
poetry,pottery,2,0.006976157256394017,2.857129251765468e-05
posters,pottery,2,4.761882086275779e-06,2.857129251765468e-05
directories,dormitories,3,4.761882086275779e-06,9.523764172551558e-06
logic,magic,2,7.14282312941367e-05,0.0001428564625882734
music,magic,2,0.009899952857367346,0.0001428564625882734
education,evocation,2,0.012304703310936615,4.761882086275779e-06
ecoterrorism,bioterrorism,2,4.761882086275779e-06,9.523764172551558e-06
drama,dreams,2,0.0031047471202518082,0.00010952328798434293
firearms,dreams,3,0.00019523716553730697,0.00010952328798434293
arctic regions,antarctic regions,3,8.095199546668825e-05,4.761882086275779e-06
american wit and humor,american with and humor,1,0.00030476045352164987,4.761882086275779e-06
nature,satire,2,0.005357117347060252,1.428564625882734e-05
world war 1939 1945,world war ii 1939 1945,3,0.0008238056009257098,4.761882086275779e-06
norway,organ,3,3.3333174603930456e-05,4.761882086275779e-06
ocean,organ,2,9.523764172551558e-06,4.761882086275779e-06
oregon,organ,2,4.7618820862757796e-05,4.761882086275779e-06
orgasm,organ,2,9.523764172551558e-06,4.761882086275779e-06
orphans,organ,3,1.428564625882734e-05,4.761882086275779e-06
jordan,organ,2,9.523764172551558e-06,4.761882086275779e-06
origami,organ,3,2.857129251765468e-05,4.761882086275779e-06
moriaen,organ,3,4.761882086275779e-06,4.761882086275779e-06
bibles,bible,1,0.0019047528345103118,0.0029476050114047078
libya,bible,3,1.428564625882734e-05,0.0029476050114047078
abible,bible,1,4.761882086275779e-06,0.0029476050114047078
chile,china,2,4.7618820862757796e-05,0.00045237879819619905
ahimsa,china,3,4.761882086275779e-06,0.00045237879819619905
ghana,china,2,1.428564625882734e-05,0.00045237879819619905
chitral,china,3,4.761882086275779e-06,0.00045237879819619905
authors irish,authors yiddish,3,5.238070294903357e-05,4.761882086275779e-06
golf,gold,1,0.00011904705215689449,9.523764172551558e-06
design,devil,3,0.0015238022676082495,3.3333174603930456e-05
nevis,devil,2,4.761882086275779e-06,3.3333174603930456e-05
nepal,devil,3,9.523764172551558e-06,3.3333174603930456e-05
humanism,humanity,2,1.9047528345103117e-05,4.761882086275779e-06
humility,humanity,2,4.761882086275779e-06,4.761882086275779e-06
humanities,humanity,3,9.523764172551558e-06,4.761882086275779e-06
immunity,humanity,3,9.523764172551558e-06,4.761882086275779e-06
best books,baby books,3,0.0001380945805019976,9.523764172551558e-06
baby booties,baby books,3,4.761882086275779e-06,9.523764172551558e-06
baby foods,baby books,2,9.523764172551558e-06,9.523764172551558e-06
feminism,feminists,2,0.00010476140589806715,1.9047528345103117e-05
femininity,feminists,3,9.523764172551558e-06,1.9047528345103117e-05
antiques,antiquities,3,0.0033571268708244245,5.238070294903357e-05
activities,antiquities,3,0.0020904662358750673,5.238070294903357e-05
east asia,aspasia,3,3.3333174603930456e-05,4.761882086275779e-06
aphasia,aspasia,2,4.761882086275779e-06,4.761882086275779e-06
french language,czech language,3,0.00012380893424317028,1.9047528345103117e-05
dutch language,czech language,3,3.8095056690206234e-05,1.9047528345103117e-05
uzbeck language,czech language,3,4.761882086275779e-06,1.9047528345103117e-05
diaries,libraries,3,2.857129251765468e-05,0.00043333126985109597
librarians,libraries,2,1.428564625882734e-05,0.00043333126985109597
photography,photographs,1,0.0035809353288793863,1.428564625882734e-05
autographs,photographs,3,1.9047528345103117e-05,1.428564625882734e-05
photographers,photographs,2,4.7618820862757796e-05,1.428564625882734e-05
bears,beans,1,0.00019523716553730697,4.761882086275779e-06
bus travel,air travel,3,1.428564625882734e-05,5.238070294903357e-05
time travel,air travel,3,1.428564625882734e-05,5.238070294903357e-05
authorship,authors,3,0.0002095228117961343,0.0004238075056785444
actors,authors,2,0.0002999985714353741,0.0004238075056785444
hawthorns,authors,3,4.761882086275779e-06,0.0004238075056785444
authority,authors,3,1.428564625882734e-05,0.0004238075056785444
anchors,authors,2,4.761882086275779e-06,0.0004238075056785444
autoharp,authors,3,4.761882086275779e-06,0.0004238075056785444
pythons,authors,3,4.761882086275779e-06,0.0004238075056785444
bukhoro,authors,3,4.761882086275779e-06,0.0004238075056785444
autopsy,authors,3,4.761882086275779e-06,0.0004238075056785444
girls,birds,2,7.14282312941367e-05,0.00029047480726282254
goddesses,dresses,3,1.428564625882734e-05,4.761882086275779e-06
actresses,dresses,3,6.666634920786091e-05,4.761882086275779e-06
crosses,dresses,2,4.761882086275779e-06,4.761882086275779e-06
prints,princes,2,9.523764172551558e-06,9.523764172551558e-06
pyrenees,princes,3,4.761882086275779e-06,9.523764172551558e-06
prices,princes,1,4.761882086275779e-06,9.523764172551558e-06
princess,princes,1,4.761882086275779e-06,9.523764172551558e-06
house,home,2,0.001985704829977,0.0019904667120632757
women,home,2,0.00022380845805496165,0.0019904667120632757
rome,home,1,0.00013333269841572183,0.0019904667120632757
love,home,2,0.0001428564625882734,0.0019904667120632757
knee,home,3,4.761882086275779e-06,0.0019904667120632757
hemp,home,2,4.761882086275779e-06,0.0019904667120632757
hope,home,1,4.761882086275779e-06,0.0019904667120632757
home,rome,1,0.0019904667120632757,0.00013333269841572183
ghost stories american,short stories american,2,2.857129251765468e-05,8.095199546668825e-05
alaska,alabama,3,0.00019999904762358275,6.666634920786091e-05
album,alabama,3,4.761882086275779e-06,6.666634920786091e-05
sex psychology,ego psychology,3,1.428564625882734e-05,4.761882086275779e-06
intellect,internet,3,4.761882086275779e-06,6.190446712158514e-05
interest,internet,2,4.761882086275779e-06,6.190446712158514e-05
baptism,baptists,2,5.714258503530936e-05,0.00019523716553730697
artists,baptists,2,0.0002857129251765468,0.00019523716553730697
anabaptists,baptists,3,9.523764172551558e-06,0.00019523716553730697
trappists,baptists,3,4.761882086275779e-06,0.00019523716553730697
hydrology,horology,2,1.428564625882734e-05,4.761882086275779e-06
devil,nevis,2,3.3333174603930456e-05,4.761882086275779e-06
enemies,nevis,3,4.761882086275779e-06,4.761882086275779e-06
young adult fiction,young adult nonfiction,3,0.0027952247846438827,0.00036190303855695923
pets,celts,2,0.002980938186008638,5.714258503530936e-05
cells,celts,1,9.523764172551558e-06,5.714258503530936e-05
creoles,celts,3,9.523764172551558e-06,5.714258503530936e-05
cults,celts,1,6.190446712158514e-05,5.714258503530936e-05
cellists,celts,3,9.523764172551558e-06,5.714258503530936e-05
cent,celts,2,1.428564625882734e-05,5.714258503530936e-05
youth,mouth,1,1.9047528345103117e-05,4.761882086275779e-06
fathers and sons,mothers and sons,2,6.190446712158514e-05,1.9047528345103117e-05
social psychology,goal psychology,3,2.3809410431378898e-05,4.761882086275779e-06
goal psychologby,goal psychology,1,4.761882086275779e-06,4.761882086275779e-06
loss psychology,goal psychology,3,4.761882086275779e-06,4.761882086275779e-06
christian saints,christian sects,3,0.00010952328798434293,2.857129251765468e-05
breeding,brewing,2,4.761882086275779e-06,2.857129251765468e-05
aging,baking,2,0.00010952328798434293,0.00011904705215689449
hiking,baking,2,9.999952381179138e-05,0.00011904705215689449
walking,baking,2,9.523764172551558e-06,0.00011904705215689449
boxing,baking,2,1.9047528345103117e-05,0.00011904705215689449
kayaking,baking,3,4.761882086275779e-06,0.00011904705215689449
aunts,ants,1,5.714258503530936e-05,3.8095056690206234e-05
giants,ants,2,4.761882086275779e-06,3.8095056690206234e-05
pants,ants,1,4.761882086275779e-06,3.8095056690206234e-05
tarot,art,2,7.14282312941367e-05,0.00968090628139866
arts,art,1,8.571387755296404e-05,0.00968090628139866
karate,art,3,8.571387755296404e-05,0.00968090628139866
salt,art,2,1.428564625882734e-05,0.00968090628139866
auto,art,2,4.761882086275779e-06,0.00968090628139866
aura,art,2,1.428564625882734e-05,0.00968090628139866
carp,art,2,4.761882086275779e-06,0.00968090628139866
arthur,art,3,4.761882086275779e-06,0.00968090628139866
monkeys,donkeys,1,1.428564625882734e-05,9.523764172551558e-06
horses,heroes,2,0.00022857034014123743,8.571387755296404e-05
herbs,heroes,2,5.238070294903357e-05,8.571387755296404e-05
harbors,heroes,3,9.523764172551558e-06,8.571387755296404e-05
levees,heroes,3,4.761882086275779e-06,8.571387755296404e-05
hermits,heroes,3,4.761882086275779e-06,8.571387755296404e-05
death,health,2,0.00013333269841572183,0.009757096394779072
heaven,health,3,1.428564625882734e-05,0.009757096394779072
earth,health,2,1.9047528345103117e-05,0.009757096394779072
fatherhood,motherhood,2,4.761882086275779e-06,3.8095056690206234e-05
brotherhoods,motherhood,3,4.761882086275779e-06,3.8095056690206234e-05
african american musicians,african american physicians,3,4.7618820862757796e-05,4.761882086275779e-06
warships,worship,2,2.3809410431378898e-05,9.523764172551558e-06
cookbooks,copybooks,2,0.0001666658730196523,4.761882086275779e-06
anthroposophy,anthropology,3,3.3333174603930456e-05,7.619011338041247e-05
anthropologie,anthropology,2,4.761882086275779e-06,7.619011338041247e-05
piano,poland,3,8.095199546668825e-05,9.523764172551559e-05
england,poland,3,0.00048095009071385375,9.523764172551559e-05
scotland,poland,3,0.00013333269841572183,9.523764172551559e-05
poplar,poland,3,4.761882086275779e-06,9.523764172551559e-05
finland,poland,3,4.761882086275779e-06,9.523764172551559e-05
corrections,corruption,3,1.428564625882734e-05,4.761882086275779e-06
american literature,mexican literature,2,0.0034666501588087677,1.9047528345103117e-05
god,gods,1,0.00010952328798434293,4.761882086275779e-06
botswana,botany,3,2.3809410431378898e-05,0.00013333269841572183
montana,botany,3,2.3809410431378898e-05,0.00013333269841572183
garlic,girls,3,4.761882086275779e-06,7.14282312941367e-05
birds,girls,2,0.00029047480726282254,7.14282312941367e-05
fires,girls,2,1.428564625882734e-05,7.14282312941367e-05
gifts,girls,2,2.3809410431378898e-05,7.14282312941367e-05
gurus,girls,2,4.761882086275779e-06,7.14282312941367e-05
painting,printing,1,7.14282312941367e-05,2.857129251765468e-05
pricing,printing,2,4.761882086275779e-06,2.857129251765468e-05
writing,printing,2,4.761882086275779e-06,2.857129251765468e-05
bonds,bones,1,1.9047528345103117e-05,4.761882086275779e-06
buses,bones,2,2.857129251765468e-05,4.761882086275779e-06
honesty,bones,3,1.428564625882734e-05,4.761882086275779e-06
ponies,bones,2,1.9047528345103117e-05,4.761882086275779e-06
borneo,bones,2,4.761882086275779e-06,4.761882086275779e-06
new england,new zealand,3,8.571387755296404e-05,4.285693877648202e-05
automobiles racing,automobile racing,1,1.9047528345103117e-05,0.0001428564625882734
automobile driving,automobile racing,3,2.3809410431378898e-05,0.0001428564625882734
aeronautics military,astronautics military,2,6.190446712158514e-05,4.761882086275779e-06
fantasy fiction,fantastic fiction,3,0.00026666539683144365,2.3809410431378898e-05
violin,lion,3,4.7618820862757796e-05,1.9047528345103117e-05
americans,americana,1,0.00023333222222751321,1.9047528345103117e-05
alabama,alaska,3,6.666634920786091e-05,0.00019999904762358275
alpaca,alaska,3,2.3809410431378898e-05,0.00019999904762358275
avesta,alaska,3,4.761882086275779e-06,0.00019999904762358275
malaysia,alaska,3,4.761882086275779e-06,0.00019999904762358275
albania,alaska,3,4.761882086275779e-06,0.00019999904762358275
calligraphy,cartography,3,1.428564625882734e-05,1.9047528345103117e-05
cryptography,cartography,3,2.3809410431378898e-05,1.9047528345103117e-05
spanish language,danish language,2,0.0002761891610039952,4.761882086275779e-06
self publishing,web publishing,3,1.428564625882734e-05,4.761882086275779e-06
eschatology,archaeology,3,1.9047528345103117e-05,0.00010476140589806715
railroads,sailboats,3,0.00036666492064323504,9.523764172551558e-06
thai language,twi language,2,9.523764172551558e-06,4.761882086275779e-06
american poetry,mexican poetry,2,0.0006761872562511607,4.761882086275779e-06
french fiction,czech fiction,3,7.14282312941367e-05,9.523764172551558e-06
dutch fiction,czech fiction,3,1.9047528345103117e-05,9.523764172551558e-06
body life,body size,2,4.761882086275779e-06,9.523764172551558e-06
greece,geese,2,0.00021428469388241008,1.428564625882734e-05
cooks,books,1,1.9047528345103117e-05,0.0004904738548864053
boots,books,1,1.428564625882734e-05,0.0004904738548864053
bayous,books,3,4.761882086275779e-06,0.0004904738548864053
poland,piano,3,9.523764172551559e-05,8.095199546668825e-05
idaho,piano,3,2.3809410431378898e-05,8.095199546668825e-05
bijnor,piano,3,4.761882086275779e-06,8.095199546668825e-05
cd roms,carols,3,7.619011338041247e-05,2.3809410431378898e-05
cartons,carols,2,4.761882086275779e-06,2.3809410431378898e-05
parole,carols,2,4.761882086275779e-06,2.3809410431378898e-05
job hunting,fox hunting,2,3.3333174603930456e-05,2.3809410431378898e-05
airplanes,airlines,2,0.0001857134013647554,9.523764172551558e-06
pipelines,airlines,3,4.761882086275779e-06,9.523764172551558e-06
yiddish language,finnish language,3,9.523764172551558e-06,4.761882086275779e-06
database management,data base management,1,6.666634920786091e-05,4.761882086275779e-06
anxiety,annie,3,3.8095056690206234e-05,4.761882086275779e-06
communism,communists,2,0.00029523668934909836,1.428564625882734e-05
communities,communists,3,9.523764172551558e-06,1.428564625882734e-05
short stories russian,short stories austrian,3,4.761882086275779e-06,9.523764172551558e-06
college readers,college teachers,3,0.00011904705215689449,2.3809410431378898e-05
college teaching,college teachers,3,9.523764172551558e-06,2.3809410431378898e-05
christmas,christians,2,0.00015714210884710072,1.428564625882734e-05
biologists,geologists,2,1.9047528345103117e-05,1.428564625882734e-05
gynecologists,geologists,3,4.761882086275779e-06,1.428564625882734e-05
indians of north america,indians of south america,2,0.0005523783220079904,1.428564625882734e-05
diet,debt,2,9.999952381179138e-05,1.428564625882734e-05
lao language,thai language,3,9.523764172551558e-06,9.523764172551558e-06
twi language,thai language,2,4.761882086275779e-06,9.523764172551558e-06
tamil language,thai language,3,4.761882086275779e-06,9.523764172551558e-06
akan language,thai language,3,4.761882086275779e-06,9.523764172551558e-06
journalism,journalists,2,8.571387755296404e-05,7.14282312941367e-05
parables,pirates,3,1.428564625882734e-05,3.8095056690206234e-05
primates,pirates,2,4.761882086275779e-06,3.8095056690206234e-05
surveying,suffering,3,1.9047528345103117e-05,1.9047528345103117e-05
celts,cells,1,5.714258503530936e-05,9.523764172551558e-06
hell,cells,2,9.523764172551558e-06,9.523764172551558e-06
dolls,cells,2,0.00011904705215689449,9.523764172551558e-06
shells,cells,2,9.523764172551558e-06,9.523764172551558e-06
hotels,motels,1,3.8095056690206234e-05,4.761882086275779e-06
medicine,medical,3,0.0002999985714353741,0.009857095918590865
mexico,medical,3,0.00011904705215689449,0.009857095918590865
mediums,medical,3,3.3333174603930456e-05,0.009857095918590865
minicad,medical,3,4.761882086275779e-06,0.009857095918590865
medicaid,medical,2,4.761882086275779e-06,0.009857095918590865
command of troops,commando troops,2,3.3333174603930456e-05,4.761882086275779e-06
france,dance,2,0.0005142832653177842,7.619011338041247e-05
cancer,dance,2,0.00015714210884710072,7.619011338041247e-05
ballets,ballet,1,4.761882086275779e-06,2.857129251765468e-05
children,chile,3,0.0005761877324393694,4.7618820862757796e-05
china,chile,2,0.00045237879819619905,4.7618820862757796e-05
crime,chile,2,0.00026666539683144365,4.7618820862757796e-05
chimes,chile,2,4.761882086275779e-06,4.7618820862757796e-05
bread,breast,2,5.714258503530936e-05,3.8095056690206234e-05
rest,breast,2,9.523764172551558e-06,3.8095056690206234e-05
folklore,folk art,3,0.0002571416326588921,2.3809410431378898e-05
body art,folk art,3,4.761882086275779e-06,2.3809410431378898e-05
dots art,folk art,3,4.761882086275779e-06,2.3809410431378898e-05
plumbing,rubbing,3,9.523764172551558e-06,4.761882086275779e-06
architecture domestic,architecture domestique,3,0.0001619039909333765,4.761882086275779e-06
generals,genetics,3,0.0002095228117961343,1.9047528345103117e-05
dianetics,genetics,3,4.761882086275779e-06,1.9047528345103117e-05
genomics,genetics,2,4.761882086275779e-06,1.9047528345103117e-05
bealeton va,galeton pa,3,4.761882086275779e-06,4.761882086275779e-06
jazz,java,2,9.047575963923981e-05,4.761882086275779e-06
japan,java,2,0.00026666539683144365,4.761882086275779e-06
babysitters,baby sitters,1,3.8095056690206234e-05,4.761882086275779e-06
tragedy,travel,3,9.523764172551558e-06,0.008547578344865024
israel,travel,3,9.999952381179138e-05,0.008547578344865024
travelers,travel,3,4.761882086275779e-06,0.008547578344865024
politicos,politicians,3,4.761882086275779e-06,2.3809410431378898e-05
grandfathers,grandmothers,2,9.523764172551558e-06,4.285693877648202e-05
high schools,high school,1,3.3333174603930456e-05,4.761882086275779e-06
soldiers,golfers,3,9.999952381179138e-05,4.761882086275779e-06
prostate,posture,3,2.3809410431378898e-05,4.761882086275779e-06
costume,posture,2,6.190446712158514e-05,4.761882086275779e-06
torture,posture,2,4.761882086275779e-06,4.761882086275779e-06
children s songs,children songs,2,6.190446712158514e-05,4.761882086275779e-06
india,indiana,2,0.0002619035147451679,5.238070294903357e-05
indians,indiana,1,3.8095056690206234e-05,5.238070294903357e-05
indian art,indiana,3,3.3333174603930456e-05,5.238070294903357e-05
authors,actors,2,0.0004238075056785444,0.0002999985714353741
factories,actors,3,1.428564625882734e-05,0.0002999985714353741
tactics,actors,3,9.523764172551558e-06,0.0002999985714353741
sailors,actors,3,3.3333174603930456e-05,0.0002999985714353741
atoms,actors,2,9.523764172551558e-06,0.0002999985714353741
celtic literature,epic literature,3,4.761882086275779e-06,4.761882086275779e-06
african americans,african american,1,0.0008476150113570888,4.761882086275779e-06
baseball,basketball,2,0.00021428469388241008,4.7618820862757796e-05
clairvoyance,clairvoyants,2,1.428564625882734e-05,4.761882086275779e-06
blood,blind,2,2.3809410431378898e-05,9.999952381179138e-05
blinds,blind,1,4.761882086275779e-06,9.999952381179138e-05
germany,germans,1,0.00030476045352164987,2.857129251765468e-05
mermaids,germans,3,4.761882086275779e-06,2.857129251765468e-05
earth planet,mars planet,3,1.428564625882734e-05,1.428564625882734e-05
marsh plants,mars planet,3,4.761882086275779e-06,1.428564625882734e-05
prophecies,prophets,3,1.9047528345103117e-05,4.761882086275779e-06
prophecy,prophets,2,1.428564625882734e-05,4.761882086275779e-06
animals,angels,3,0.0010047571202041895,8.095199546668825e-05
anger,angels,2,4.285693877648202e-05,8.095199546668825e-05
spaniels,angels,3,4.761882086275779e-06,8.095199546668825e-05
andes,angels,2,9.523764172551558e-06,8.095199546668825e-05
angola,angels,2,1.428564625882734e-05,8.095199546668825e-05
astronomy,autonomy,2,0.00022380845805496165,9.523764172551558e-06
antonyms,autonomy,3,9.523764172551558e-06,9.523764172551558e-06
orgonomy,autonomy,3,4.761882086275779e-06,9.523764172551558e-06
fantasy,kansas,3,0.0001857134013647554,2.857129251765468e-05
arkansas,kansas,2,3.8095056690206234e-05,2.857129251765468e-05
aeronautics,astronautics,2,0.0002571416326588921,6.666634920786091e-05
astronauts,astronautics,2,3.3333174603930456e-05,6.666634920786091e-05
hindus,hinduism,2,2.857129251765468e-05,7.619011338041247e-05
hindouisme,hinduism,2,4.761882086275779e-06,7.619011338041247e-05
fishing,kissing,2,0.00014761834467454918,1.428564625882734e-05
missions,kissing,3,0.00012857081632944604,1.428564625882734e-05
canada,cabala,2,0.0003761886848157866,4.285693877648202e-05
tabla,cabala,2,4.761882086275779e-06,4.285693877648202e-05
geography,biography,2,9.523764172551559e-05,0.029423669411098044
lithography,biography,3,4.761882086275779e-06,0.029423669411098044
aquarium fishes,aquarium fish,2,9.047575963923981e-05,4.761882086275779e-06
argentina,armenia,3,5.714258503530936e-05,9.523764172551558e-06
armenians,armenia,2,4.761882086275779e-06,9.523764172551558e-06
comic books strips etc,comic books strips et,1,0.00046666444445502643,4.761882086275779e-06
chiropractic,chiropractors,3,3.3333174603930456e-05,4.761882086275779e-06
poor,poker,2,9.523764172551558e-06,1.9047528345103117e-05
popes,poker,2,3.8095056690206234e-05,1.9047528345103117e-05
christianity,christanity,1,0.00035714115647068347,4.761882086275779e-06
egypt,eye,3,0.00019999904762358275,2.857129251765468e-05
nyc,eye,2,4.761882086275779e-06,2.857129251765468e-05
romania,romanies,2,4.761882086275779e-06,1.9047528345103117e-05
romances,romanies,1,4.761882086275779e-06,1.9047528345103117e-05
cats,hats,1,0.00047618820862757794,1.428564625882734e-05
hand,hats,2,1.428564625882734e-05,1.428564625882734e-05
hawks,hats,2,4.761882086275779e-06,1.428564625882734e-05
quran,iran,2,2.857129251765468e-05,8.571387755296404e-05
